# title	date	time	venue	price	tags	description	label1	url1	label2	url2	label3	url3	until	weekdays
Eleni: jazz standards, Latin sounds and Greek songs	2026-09-11	21:00	Stoa Culture – Aithrio, Athens centre	from 15€	concert	Singer Eleni with an acoustic band: Dario Baroso and Gilad Barakan (guitars), Lampros Papanikolaou (double bass), Jason Wastor (drums). Jazz standards, Latin American songs and Greek songs around her album Xana.	Event page (Athinorama)	https://www.athinorama.gr/music/gig/eleni-10091182/	Tickets (more.com)	https://www.more.com/gr-el/tickets/music/eleni-arapoglou-live-1/				
Snarky Puppy	2026-09-19	20:00	Floyd Live Music Venue, Gazi	40€	concert	The Texas collective led by bassist Michael League: a big band mixing jazz, funk, soul and fusion with long improvised stretches. Five Grammy awards; latest album Somni, recorded live with the Metropole Orkest. Doors 20:00.	Event page (Floyd)	https://www.floyd.gr/event/snarky-puppy/	Tickets (more.com)	https://www.more.com/gr-el/tickets/music/snarky-puppy				
The Jazz Room: a journey to the heart of New Orleans	2026-09-19	19:00	Parnassos Literary Society, Athens centre	18.80€ – 40€	concert	A one-hour set of 1920s New Orleans jazz, ragtime and blues on saxophone, trumpet and rhythm section, staged as a small street bar. Two shows tonight, 19:00 and 21:00; priced by zone.	Event page (The Jazz Room)	https://thejazzroomexperience.com/	Tickets (Fever)	https://feverup.com/m/670691				
The Jazz Room: a journey to the heart of New Orleans	2026-10-09	19:00	Parnassos Literary Society, Athens centre	18.80€ – 40€	concert	A one-hour set of 1920s New Orleans jazz, ragtime and blues on saxophone, trumpet and rhythm section, staged as a small street bar. Two shows tonight, 19:00 and 21:00; priced by zone.	Event page (The Jazz Room)	https://thejazzroomexperience.com/	Tickets (Fever)	https://feverup.com/m/670691				
# time not printed by the venue; 21:00 is the usual Main Stage start — verify
Christian McBride & Ursa Major	2026-09-28	21:00	Gazarte Main Stage, Gazi	35€ – 75€	concert	Bassist Christian McBride's quintet Ursa Major, first of two nights: Nicole Glover (saxophone), Mike King (piano), Ely Perlman (guitar), Savannah Harris (drums). Contemporary acoustic jazz on original compositions. Start time to be confirmed by the venue; priced by zone.	Event page (Gazarte)	https://www.gazarte.gr/events/https-www-more-com-gr-el-tickets-music-christian-mcbride-ursa-major-live-in-athens/	Tickets (more.com)	https://www.more.com/gr-el/tickets/music/christian-mcbride-ursa-major-live-in-athens/				
Christian McBride & Ursa Major	2026-09-29	21:00	Gazarte Main Stage, Gazi	35€ – 75€	concert	Second night of Christian McBride's quintet Ursa Major: Nicole Glover (saxophone), Mike King (piano), Ely Perlman (guitar), Savannah Harris (drums). Contemporary acoustic jazz on original compositions. Start time to be confirmed by the venue; priced by zone.	Event page (Gazarte)	https://www.gazarte.gr/events/https-www-more-com-gr-el-tickets-music-christian-mcbride-ursa-major-live-in-athens/	Tickets (more.com)	https://www.more.com/gr-el/tickets/music/christian-mcbride-ursa-major-live-in-athens/				
# 22:30 is the club's printed season-opening time for 9 Oct; later nights assumed the same — verify
Chico Pinheiro	2026-10-09	22:30	Half Note Jazz Club, Mets	not announced	concert	Brazilian guitarist and composer Chico Pinheiro opens the Half Note's season with a four-night run, 9 to 12 October. Modern Brazilian jazz: samba and bossa harmony with a jazz guitarist's phrasing; reservations on 210 9213310.	Season opening (Half Note)	https://www.halfnote.gr/event/ananeonoume-to-rantevou-mas-gia-ton-oktovrio/2026-10-09/	Reservations (Half Note)	https://www.halfnote.gr/events/	Dates (Shazam)	https://www.shazam.com/en-us/event/venue/IA05BF4F08EC4320E	2026-10-12	
# not on gazarte.gr yet; time and price unknown (Bandsintown shows a placeholder 19:00) — verify
Emmet Cohen Quintet: Miles & Coltrane centennial	2026-10-29	21:00	Gazarte, Gazi	not announced	concert	Pianist Emmet Cohen's trio with Jeremy Pelt (trumpet) and Tivon Pennicott (tenor saxophone), marking the centenary of Miles Davis and John Coltrane. Start time and prices to be confirmed by the venue.	Event page (Bandsintown)	https://www.bandsintown.com/e/108248991	Tickets (Gazarte)	https://www.gazarte.gr/events/				
# time not printed by the venue — verify; jazz-adjacent (sax-led trio), drop if too far from jazz
Vapors of Morphine	2026-11-11	21:00	Gazarte Ground Stage, Gazi	25€ presale	concert	The trio carrying on the sound of the 1990s band Morphine: Dana Colley on baritone saxophone, two-string slide bass and drums. Low, smoky rock with jazz and blues roots. Start time to be confirmed by the venue; 30€ on the door.	Event page (Gazarte)	https://www.gazarte.gr/events/vapors-of-morphine/	Tickets (more.com)	https://www.more.com/gr-el/tickets/music/vapors-of-morphine-live-in-athens				
Billy Cobham: Time Machine	2026-11-14	21:00	Megaron, Alexandra Trianti Hall	8€ – 40€	concert	Drummer Billy Cobham, of Miles Davis's electric bands and the Mahavishnu Orchestra, revisits his 1970s fusion records alongside newer pieces. Band: Victor Cisternas (bass), Jorge Vera (keyboards), Carl Mörner (guitar), Bjorn Arko (saxophone), Andrea Andreoli (trombone). Tickets on sale from 10 September.	Event page (Megaron)	https://www.megaron.gr/en/event/billy-cobham-time-machine/	Tickets (Megaron)	https://webtics.megaron.gr/en				
Andreas Polyzogopoulos Trio: Petrichor	2026-11-15	21:00	Megaron, Banqueting Hall	14€ – 35€	concert	Trumpeter Andreas Polyzogopoulos presents his fifth album Petrichor with Petros Klampanis (double bass) and Wajdi Riahi (piano). A drummerless trio of quiet, original compositions. Tickets on sale from 10 September; three zones: 14€, 22€ and 35€.	Event page (Megaron)	https://www.megaron.gr/en/event/andreas-polyzogopoulos-trio-petrichor/	Tickets (Megaron)	https://webtics.megaron.gr/en				
